Z370,LGA1151,◯,DDR4-2666,64GB　4slot,24,6,"SATA 0. 1. 5. 10/PCIe 0. 1. 5"
H370,LGA1151,×,DDR4-2666,64GB　4slot,20,6,"SATA 0. 1. 5. 10/PCIe 0. 1. 5"
B360,LGA1151,×,DDR4-2666,64GB　4slot,12,6,×
H310,LGA1151,×,DDR4-2666,32GB 2slot,6,4,×
